竹,zhú,"bamboo/CL:棵[ke1],支[zhi1],根[gen1]/Kangxi radical 118",level3
竹子,zhúzǐ,"bamboo/CL:棵[ke1],支[zhi1],根[gen1]",level3
田,tián,"surname Tian
field/farm/CL:片[pian4]",level3
才,cái,"ability/talent/sb of a certain type/a capable individual/only/only then/just now
a moment ago/just now/(indicating sth happening later than expected)/(preceded by a clause of condition or reason) not until/(followed by a numerical clause) only",level3
人才,réncái,talent/talented person/looks/attractive looks,level3
小,xiǎo,small/tiny/few/young,level3
小心,xiǎoxīn,to be careful/to take care,level3
大小,dàxiǎo,dimension/magnitude/size/measurement/large and small/at any rate/adults and children/consideration of seniority,level3
小子,xiǎozǐ,"(literary) youngster/(old) young fellow (term of address used by the older generation)/(old) I, me (used in speaking to one's elders)
(coll.) boy/(derog.) joker/guy/(despicable) fellow",level3
大大小小,dàdàxiǎoxiǎo,large and small/of all sizes,level3
人生,rénshēng,life (one's time on earth),level3
生,shēng,to be born/to give birth/life/to grow/raw/uncooked/student,level3
一生,yīshēng,all one's life/throughout one's life,level3
女生,nǚshēng,schoolgirl/female student/girl,level3
生日,shēngrì,birthday/CL:個|个[ge4],level3
门,mén,"surname Men
gate/door/CL:扇[shan4]/gateway/doorway/CL:個|个[ge4]/opening/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy)/classifier for large guns/classifier for lessons, subjects, branches of technology/(suffix) -gate (i.e. scandal; derived from Watergate)",level3
大门,dàmén,entrance/door/gate/large and influential family,level3
门口,ménkǒu,doorway/gate/CL:個|个[ge4],level3
为,wéi,"as (in the capacity of)/to take sth as/to act as/to serve as/to behave as/to become/to be/to do/by (in the passive voice)
because of/for/to
variant of 為|为[wei2]/as (i.e. in the capacity of)/to take sth as/to act as/to serve as/to behave as/to become/to be/to do
variant of 為|为[wei4], because of/for/to",level3
以为,yǐwéi,to think (i.e. to take it to be true that ...) (Usually there is an implication that the notion is mistaken – except when expressing one's own current opinion.),level3
大为,dàwéi,very/greatly,level3
人为,rénwéi,artificial/man-made/having human cause or origin/human attempt or effort,level3
为了,wéile,in order to/for the purpose of/so as to,level3
以,yǐ,"old variant of 以[yi3]
old variant of 以[yi3]
abbr. for Israel 以色列[Yi3 se4 lie4]
to use/by means of/according to/in order to/because of/at (a certain date or place)",level3
可以,kěyǐ,can/may/possible/able to/not bad/pretty good,level3
以来,yǐlái,since (a previous event),level3
以上,yǐshàng,that level or higher/that amount or more/the above-mentioned,level3
足以,zúyǐ,sufficient to.../so much so that/so that,level3
不可以,bùkěyǐ,may not,level3
来,lái,to come/to arrive/to come round/ever since/next,level3
来自,láizì,to come from (a place)/From: (in email header),level3
上来,shànglái,to come up/to approach/(verb complement indicating success),level3
一来,yīlái,"on one hand,...",level3
自来水,zìláishuǐ,running water/tap water,level3
二来,èrlái,in the second place/secondly,level3
之,zhī,"(possessive particle, literary equivalent of 的[de5])/him/her/it",level3
之中,zhīzhōng,inside/among/in the midst of (doing sth)/during,level3
之上,zhīshàng,above,level3
自,zì,self/oneself/from/since/naturally/surely,level3
自我,zìwǒ,self-/ego (psychology),level3
自在,zìzài,free/unrestrained/comfortable/at ease,level3
自有,zìyǒu,to possess/to own/to have,level3
二,èr,two/2/(Beijing dialect) stupid,level3
大二,dàèr,second-year university student,level3
个,gè,"individual/this/that/size/classifier for people or objects in general
variant of 個|个[ge4]",level3
个人,gèrén,individual/personal/oneself,level3
个子,gèzǐ,height/stature/build/size,level3
火,huǒ,"surname Huo
fire/urgent/ammunition/fiery or flaming/internal heat (Chinese medicine)/hot (popular)/classifier for military units (old)",level3
火力,huǒlì,fire/firepower,level3
里,lǐ,"variant of 裡|里[li3]
lining/interior/inside/internal/also written 裏|里[li3]
Li (surname)
li, ancient measure of length, approx. 500 m/neighborhood/ancient administrative unit of 25 families/(Tw) borough, administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels",level3
这里,zhèlǐ,"variant of 這裡|这里[zhe4 li3]
here",level3
中文,zhōngwén,Chinese language,level3
人文,rénwén,humanities/human affairs/culture,level3
文人,wénrén,scholar/literati,level3
可,kě,"can/may/able to/to approve/to permit/to suit/(particle used for emphasis) certainly/very
see 可汗[ke4 han2]",level3
可是,kěshì,but/however/(used for emphasis) indeed,level3
不可,bùkě,cannot/should not/must not,level3
可口,kěkǒu,tasty/to taste good,level3
我们,wǒmén,we/us/ourselves/our,level3
他们,tāmén,they,level3
们,mén,"plural marker for pronouns, and nouns referring to individuals",level3
人们,rénmén,people,level3
