者,"(after a verb or adjective) one who (is) .../(after a noun) person involved in .../-er/-ist/(used after a number or 後|后[hou4] or 前[qian2] to refer to sth mentioned previously)/(used after a term, to mark a pause before defining the term)/(old) (used at the end of a command)/(old) this",者,,zhě,level4
广,surname Guang,廣,,guǎng,level4
牟,surname Mou,牟,,móu,level4
出,"to go out/to come out/to occur/to produce/to go beyond/to rise/to put forth/to happen/classifier for dramas, plays, operas etc",出,,chū,level5
方,surname Fang,方,,fāng,level5
道,"direction/way/road/path/principle/truth/morality/reason/skill/method/Dao (of Daoism)/to say/to speak/to talk/classifier for long thin stretches, rivers, roads etc/province (of Korea do 도, and formerly Japan dō)/CL:條|条[tiao2],股[gu3]",道,,dào,level5
车,surname Che,車,,chē,level5
天,day/sky/heaven,天,,tiān,level5
云,surname Yun/abbr. for Yunnan Province 雲南省|云南省[Yun2 nan2 sheng3],雲,,yún,level5
要,to demand/to request/to coerce,要,,yào,level5
下,"down/downwards/below/lower/later/next (week etc)/second (of two parts)/to decline/to go down/to arrive at (a decision, conclusion etc)",下,,xià,level5
衣,clothes/CL:件[jian4],衣,,yī,level5
厂,factory/yard/depot/workhouse/works/(industrial) plant,廠,,chǎng,level5
巴,Ba state during Zhou dynasty (in east of modern Sichuan)/abbr. for east Sichuan or Chongqing/surname Ba/abbr. for Palestine or Palestinian/abbr. for Pakistan,巴,,bā,level5
西,the West/abbr. for Spain 西班牙[Xi1 ban1 ya2]/Spanish,西,,xī,level5
用,to use/to employ/to have to/to eat or drink/expense or outlay/usefulness/hence/therefore,用,,yòng,level5
你,"you (informal, as opposed to courteous 您[nin2])",你,,nǐ,level5
旦,dawn/morning/day-break/day,旦,,dàn,level5
就,at once/right away/only/just (emphasis)/as early as/already/as soon as/then/in that case/as many as/even if/to approach/to move towards/to undertake/to engage in/to suffer/subjected to/to accomplish/to take advantage of/to go with (of foods)/with regard to/concerning,就,,jiù,level5
示,to show/to reveal,示,,shì,level5
得,to obtain/to get/to gain/to catch (a disease)/proper/suitable/proud/contented/to allow/to permit/ready/finished,得,,dé,level5
年,surname Nian,年,,nián,level5
犬,dog,犬,,quǎn,level5
彷,seemingly,彷,,páng,level5
那,variant of 哪[na3],那,,nà,level6
己,"self/oneself/sixth of 10 heavenly stems 十天干/sixth in order/letter ""F"" or roman ""VI"" in list ""A, B, C"", or ""I, II, III"" etc/hexa",己,,jǐ,level6
会,can/be possible/be able to/will/be likely to/be sure to/to assemble/to meet/to gather/to see/union/group/association/CL:個|个[ge4]/a moment (Taiwan pr. for this sense is [hui3]),會,,huì,level6
对,couple/pair/to be opposite/to oppose/to face/versus/for/to/correct (answer)/to answer/to reply/to direct (towards sth)/right,對,,duì,level6
此,this/these,此,,cǐ,level6
后,back/behind/rear/afterwards/after/later,後,,hòu,level6
能,surname Neng,能,,néng,level6
元,surname Yuan/the Yuan or Mongol dynasty (1279-1368),元,,yuán,level6
丁,surname Ding,丁,,dīng,level6
主,owner/master/host/individual or party concerned/God/Lord/main/to indicate or signify/trump card (in card games),主,,zhǔ,level6
正,first month of the lunar year,正,,zhèng,level6
着,(chess) move/trick/all right!/(dialect) to add,著,,zhuó,level6
尔,thus/so/like that/you/thou,爾,,ěr,level6
京,abbr. for Beijing/surname Jing/Jing ethnic minority,京,,jīng,level6
山,surname Shan,山,,shān,level6
走,"to walk/to go/to run/to move (of vehicle)/to visit/to leave/to go away/to die (euph.)/from/through/away (in compound verbs, such as 撤走)/to change (shape, form, meaning)",走,,zǒu,level6
行,a row/series/age order (of brothers)/profession/professional/relating to company,行,,háng,level6
尸,corpse,屍,,shī,level6
成,surname Cheng,成,,chéng,level6
事,"matter/thing/item/work/affair/CL:件[jian4],樁|桩[zhuang1]",事,,shì,level6
廿,"twenty (20), in a limited number of set expressions/also written using banker's character 念",廿,,niàn,level7
从,surname Cong,從,,cóng,level7
所,"actually/place/classifier for houses, small buildings, institutions etc/that which/particle introducing a relative clause or passive/CL:個|个[ge4]",所,,suǒ,level7
金,surname Jin/surname Kim (Korean)/Jurchen Jin dynasty (1115-1234),金,,jīn,level7
玉,jade,玉,,yù,level7
家,surname Jia,家,,jiā,level7
史,surname Shi,史,,shǐ,level7
过,surname Guo,過,,guò,level7
巾,towel/general purpose cloth/women's headcovering (old)/Kangxi radical 50,巾,,jīn,level7
只,"classifier for birds and certain animals, one of a pair, some utensils, vessels etc",隻,,zhī,level7
发,hair/Taiwan pr. [fa3],髮,,fā,level7
多,"many/much/a lot of/numerous/more/in excess/how (to what extent)/multi-/Taiwan pr. [duo2] when it means ""how""",多,,duō,level7
户,a household/door/family,戶,,hù,level7
兑,surname Dui,兌,,duì,level7
相,surname Xiang,相,,xiāng,level7
头,head/hair style/the top/end/beginning or end/a stub/remnant/chief/boss/side/aspect/first/leading/classifier for pigs or livestock/CL:個|个[ge4],頭,,tóu,level7
如,as/as if/such as,如,,rú,level7
开,"to open/to start/to turn on/to boil/to write out (a prescription, check, invoice etc)/to operate (vehicle)/abbr. for 開爾文|开尔文 degrees Kelvin",開,,kāi,level7
然,correct/right/so/thus/like this/-ly,然,,rán,level7
古,surname Gu,古,,gǔ,level7
各,each/every,各,,gè,level8
作,to do/to grow/to write or compose/to pretend/to regard as/to feel/writings or works,作,,zuò,level8
分,to divide/to separate/to allocate/to distinguish (good and bad)/part or subdivision/fraction/one tenth (of certain units)/unit of length equivalent to 0.33 cm/minute/a point (in sports or games)/0.01 yuan (unit of money),分,,fēn,level8
首,"head/chief/first (occasion, thing etc)/classifier for poems, songs etc",首,,shǒu,level8
本,"roots or stems of plants/origin/source/this/the current/root/foundation/basis/classifier for books, periodicals, files etc/originally",本,,běn,level8
青,nature's color/green or blue/greenish black/youth/young (of people)/abbr. for Qinghai province 青海,青,,qīng,level8
军,army/military/arms/CL:個|个[ge4],軍,,jūn,level8
页,page/leaf,頁,,yè,level8
向,surname Xiang,向,,xiàng,level8
与,"(same as 歟|欤, final particle expression doubt or surprise, similar to 吗 or 呢)",與,,yǔ,level8
同,see 衚衕|胡同[hu2 tong4],衕,,tóng,level8
合,variant of 合[he2],閤,,hé,level8
米,surname Mi,米,,mǐ,level8
无,-less/not to have/no/none/not/to lack/un-,無,,wú,level8
都,surname Du,都,,dū,level8
尤,surname You,尤,,yóu,level8
长,length/long/forever/always/constantly,長,,cháng,level8
入,to enter/to go into/to join/to become a member of/to confirm or agree with/abbr. for 入聲|入声[ru4 sheng1],入,,rù,level8
马,surname Ma/abbr. for Malaysia 馬來西亞|马来西亚[Ma3 lai2 xi1 ya4],馬,,mǎ,level8
士,surname Shi,士,,shì,level8
将,will/shall/to use/to take/to checkmate/just a short while ago,將,,jiāng,level9
当,to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at,當,,dāng,level9
么,exclamatory final particle,麼,,mó,level9
寺,buddhist temple/mosque/government office (old),寺,,sì,level9
经,surname Jing,經,,jīng,level9
法,France/French/abbr. for 法國|法国[Fa3 guo2],法,,fǎ,level9
公,"public/collectively owned/common/international (e.g. high seas, metric system, calendar)/make public/fair/just/Duke, highest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]/honorable (gentlemen)/father-in-law/male (animal)",公,,gōng,level9
起,"to rise/to raise/to get up/to set out/to start/to appear/to launch/to initiate (action)/to draft/to establish/to get (from a depot or counter)/verb suffix, to start/(before place or time) starting from/classifier for occurrences or unpredictable events: case, instance/classifier for groups: batch, group",起,,qǐ,level9
耳,ear/handle (archaeology)/and that is all (classical Chinese),耳,,ěr,level9
好,good/well/proper/good to/easy to/very/so/(suffix indicating completion or readiness)/to be in love (e.g. 学姐，你跟他好了，就不怕代沟么？),好,,hǎo,level9
看,to look after/to take care of/to watch/to guard,看,,kàn,level9
且,and/moreover/yet/for the time being/to be about to/both (... and...),且,,qiě,level9
学,to learn/to study/science/-ology,學,,xué,level9
前,front/forward/ahead/ago/before/first/former/formerly/future/BC (e.g. 前293年),前,,qián,level9
进,"to advance/to enter/to come (or go) into/to receive or admit/to eat or drink/to submit or present/(used after a verb) into, in/to score a goal",進,,jìn,level9
种,"seed/species/kind/type/classifier: type, kind, sort",種,,zhǒng,level9
片,disc/sheet,片,,piàn,level9
还,surname Huan,還,,huán,level9
因,cause/reason/because,因,,yīn,level9
干,tree trunk/main part of sth/to manage/to work/to do/capable/cadre/to kill (slang)/to fuck (vulgar),幹,,gān,level9
欠,deficient/to owe/to lack/yawn,欠,,qiàn,level10
知,to know/to be aware,知,,zhī,level10
定,to set/to fix/to determine/to decide/to order,定,,dìng,level10
面,flour/noodles,麵,,miàn,level10
由,to follow/from/it is for...to/reason/cause/because of/due to/to/to leave it (to sb)/by (introduces passive verb),由,,yóu,level10
两,"two/both/some/a few/tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)",兩,,liǎng,level10
没,(negative prefix for verbs)/have not/not,沒,,méi,level10
关,surname Guan,關,,guān,level10
使,to make/to cause/to enable/to use/to employ/to send/to instruct sb to do sth/envoy/messenger,使,,shǐ,level10
占,to observe/to divine,占,,zhān,level10
兄,elder brother,兄,,xiōng,level10
石,surname Shi,石,,shí,level10
部,"ministry/department/section/part/division/troops/board/classifier for works of literature, films, machines etc",部,,bù,level10
高,surname Gao,高,,gāo,level10
舌,tongue,舌,,shé,level10
动,to use/to act/to move/to change/abbr. for verb 動詞|动词[dong4 ci2],動,,dòng,level10
兴,surname Xing,興,,xīng,level10
直,"surname Zhi/Zhi (c. 2000 BC), fifth of the legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God",直,,zhí,level10
及,and/to reach/up to/in time for,及,,jí,level10
现,to appear/present/now/existing/current,現,,xiàn,level10
明,"Ming Dynasty (1368-1644)/surname Ming/Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God",明,,míng,level11
些,some/few/several/measure word indicating a small amount or small number (greater than 1),些,,xiē,level11
尚,surname Shang,尚,,shàng,level11
网,net/network,網,,wǎng,level11
理,texture/grain (of wood)/inner essence/intrinsic order/reason/logic/truth/science/natural science (esp. physics)/to manage/to pay attention to/to run (affairs)/to handle/to put in order/to tidy up,理,,lǐ,level11
样,manner/pattern/way/appearance/shape/CL:個|个[ge4],樣,,yàng,level11
意,Italy/Italian/abbr. for 意大利[Yi4 da4 li4],意,,yì,level11
化,variant of 花,化,,huà,level11
东,surname Dong,東,,dōng,level11
已,already/to stop/then/afterwards,已,,yǐ,level11
想,to think/to believe/to suppose/to wish/to want/to miss,想,,xiǎng,level11
实,real/true/honest/really/solid/fruit/seed/definitely,實,,shí,level11
把,to hold/to contain/to grasp/to take hold of/handle/particle marking the following noun as a direct object/classifier for objects with handle/classifier for small objects: handful,把,,bǎ,level11
丰,surname Feng,豐,,fēng,level11
身,"body/life/oneself/personally/one's morality and conduct/the main part of a structure or body/pregnant/classifier for sets of clothes: suit, twinset/Kangxi radical 158",身,,shēn,level11
音,sound/noise/note (of musical scale)/tone/news/syllable/reading (phonetic value of a character),音,,yīn,level11
太,highest/greatest/too (much)/very/extremely,太,,tài,level11
但,but/yet/however/only/merely/still,但,,dàn,level11
未,"not yet/did not/have not/not/8th earthly branch: 1-3 p.m., 6th solar month (7th July-6th August), year of the Sheep",未,,wèi,level11
民,surname Min,民,,mín,level11
四,four/4,四,,sì,level11
半,half/semi-/incomplete/(after a number) and a half,半,,bàn,level12
辛,surname Xin,辛,,xīn,level12
业,surname Ye,業,,yè,level12
安,surname An,安,,ān,level12
她,she,她,,tā,level12
先,early/prior/former/in advance/first,先,,xiān,level12
令,see 令狐[Ling2 hu2],令,,líng,level12
等,class/rank/grade/equal to/same as/to wait for/to await/et cetera/and so on/et al. (and other authors)/after/as soon as/once,等,,děng,level12
五,five/5,五,,wǔ,level12
勿,do not,勿,,wù,level12
外,outside/in addition/foreign/external,外,,wài,level12
第,"(prefix indicating ordinal number, e.g. first, number two etc)",第,,dì,level12
曰,to speak/to say,曰,,yuē,level12
间,between/among/within a definite time or space/room/section of a room or lateral space between two pairs of pillars/classifier for rooms,間,,jiān,level12
共,"common/general/to share/together/total/altogether/abbr. for 共產黨|共产党[gong4 chan3 dang3], Communist party",共,,gòng,level12
取,to take/to get/to choose/to fetch,取,,qǔ,level12
次,"next in sequence/second/the second (day, time etc)/secondary/vice-/sub-/infra-/inferior quality/substandard/order/sequence/hypo- (chemistry)/classifier for enumerated events: time",次,,cì,level12
问,to ask,問,,wèn,level12
更,to change or replace/to experience/one of the five two hour periods into which the night was formerly divided/watch (e.g. of a sentry or guard),更,,gēng,level12
官,surname Guan,官,,guān,level12
伞,umbrella/parasol/CL:把[ba3],傘,,sǎn,level12
皮,surname Pi,皮,,pí,level13
并,to combine/to amalgamate,併,,bìng,level13
回,to curve/to return/to revolve,迴,,huí,level13
少,few/little/lack,少,,shǎo,level13
比,Belgium/Belgian/abbr. for 比利時|比利时[Bi3 li4 shi2],比,,bǐ,level13
它,it,它,,tā,level13
非,"abbr. for 非洲[Fei1 zhou1], Africa",非,,fēi,level13
情,feeling/emotion/passion/situation,情,,qíng,level13
千,a swing,韆,,qiān,level13
义,justice/righteousness/meaning,義,,yì,level13
机,surname Ji,機,,jī,level13
重,to repeat/repetition/again/re-/classifier: layer,重,,zhòng,level13
加,abbr. for Canada 加拿大[Jia1 na2 da4],加,,jiā,level13
今,today/modern/present/current/this/now,今,,jīn,level13
内,inside/inner/internal/within/interior,內,,nèi,level13
虫,"worm or insect/generic term for animals/CL:條|条[tiao2],隻|只[zhi1]",蟲,,chóng,level13
全,surname Quan,全,,quán,level13
台,typhoon,颱,,tái,level13
应,surname Ying,應,,yīng,level13
井,"Jing, one of the 28 constellations of Chinese astronomy/surname Jing",井,,jǐng,level13
互,mutual,互,,hù,level13
老,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity/old (of people)/venerable (person)/experienced/of long standing/always/all the time/of the past/very/outdated/(of meat etc) tough,老,,lǎo,level14
性,"nature/character/property/quality/attribute/sexuality/sex/gender/suffix forming adjective from verb/suffix forming noun from adjective, corresponding to -ness or -ity/essence/CL:個|个[ge4]",性,,xìng,level14
原,former/original/primary/raw/level/cause/source,原,,yuán,level14
夫,husband/man/manual worker/conscripted laborer (old),夫,,fū,level14
何,surname He,何,,hé,level14
亲,parent/one's own (flesh and blood)/relative/related/marriage/bride/close/intimate/in person/first-hand/in favor of/pro-/to kiss,親,,qīn,level14
早,early/morning/Good morning!,早,,zǎo,level14
或,maybe/perhaps/might/possibly/or,或,,huò,level14
点,point/dot/drop/speck/o'clock/point (in space or time)/to draw a dot/to check on a list/to choose/to order (food in a restaurant)/to touch briefly/to hint/to light/to ignite/to pour a liquid drop by drop/(old) one fifth of a two-hour watch 更[geng1]/dot stroke in Chinese characters/classifier for items,點,,diǎn,level14
亦,also,亦,,yì,level14
每,each/every,每,,měi,level14
申,surname Shen,申,,shēn,level14
必,certainly/must/will/necessarily,必,,bì,level14
母,female/mother,母,,mǔ,level14
穴,cave/cavity/hole/acupuncture point/Taiwan pr. [xue4],穴,,xué,level14
交,to hand over/to deliver/to pay (money)/to turn over/to make friends/to intersect (lines),交,,jiāo,level14
物,thing/object/matter/abbr. for physics 物理,物,,wù,level14
战,to fight/fight/war/battle,戰,,zhàn,level14
川,river/creek/plain/an area of level country/abbr. for Sichuan Province 四川 in southwest China,川,,chuān,level14
平,surname Ping,平,,píng,level14
嚏,sneeze,嚏,,tì,level14
果,fruit/result/resolute/indeed/if really,果,,guǒ,level15
被,quilt/by/(indicates passive-voice clauses)/(literary) to cover/to meet with,被,,bèi,level15
政,political/politics/government,政,,zhèng,level15
利,surname Li,利,,lì,level15
产,to give birth/to reproduce/to produce/product/resource/estate/property,產,,chǎn,level15
反,contrary/in reverse/inside-out or upside-down/to reverse/to return/to oppose/opposite/against/anti-/to rebel/to use analogy/instead/abbr. for 反切 phonetic system,反,,fǎn,level15
具,"tool/device/utensil/equipment/instrument/talent/ability/to possess/to have/to provide/to furnish/to state/classifier for devices, coffins, dead bodies",具,,jù,level15
真,really/truly/indeed/real/true/genuine,真,,zhēn,level15
最,most/the most/-est (superlative suffix),最,,zuì,level15
世,surname Shi,世,,shì,level15
新,abbr. for Xinjiang 新疆[Xin1 jiang1] or Singapore 新加坡[Xin1 jia1 po1],新,,xīn,level15
很,(adverb of degree)/quite/very/awfully,很,,hěn,level15
林,surname Lin,林,,lín,level15
美,the Americas/abbr. for 美洲[Mei3 zhou1]/USA/abbr. for 美國|美国[Mei3 guo2],美,,měi,level15
书,abbr. for 書經|书经[shu1 jing1],書,,shū,level15
制,to manufacture/to make,製,,zhì,level15
体,body/form/style/system,體,,tǐ,level15
名,name/noun (part of speech)/place (e.g. among winners)/famous/classifier for people,名,,míng,level15
什,what,甚,,shí,level15
话,"dialect/language/spoken words/speech/talk/words/conversation/what sb said/CL:種|种[zhong3],席[xi2],句[ju4],口[kou3],番[fan1]",話,,huà,level15
裔,descendants/frontier,裔,,yì,level15
南,surname Nan,南,,nán,level16
度,"to pass/to spend (time)/measure/limit/extent/degree of intensity/degree (angles, temperature etc)/kilowatt-hour/classifier for events and occurrences",度,,dù,level16
九,nine/9,九,,jiǔ,level16
州,prefecture/state (e.g. of US)/province (old)/administrative division (old),州,,zhōu,level16
角,surname Jue,角,,jiǎo,level16
代,to substitute/to act on behalf of others/to replace/generation/dynasty/age/period/(historical) era/(geological) eon,代,,dài,level16
丙,"third of 10 heavenly stems 十天干/third in order/letter ""C"" or roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc/propyl",丙,,bǐng,level16
司,surname Si,司,,sī,level16
北,north/to be defeated (classical),北,,běi,level16
雨,"rain/CL:陣|阵[zhen4],場|场[chang2]",雨,,yǔ,level16
告,to tell/to inform/to say,告,,gào,level16
员,person/employee/member,員,,yuán,level16
则,conjunction used to express contrast with a previous sentence or clause/standard/norm/rule/to imitate/to follow/then/principle/classifier for written items (such as an official statement),則,,zé,level16
常,surname Chang,常,,cháng,level16
